# cmd: ../.venv/bin/python exp004_prod.py diracA0.0600 24 24 15.0 1 0 6
# caps: tree <= 1.5 GB, disk >= 8.0 GB, free swap >= 512.0 MB
# t_s  nproc  MEM_GB  CMPRS_GB  TREE_GB  disk_free_GB  swap_free_MB
     0.3     1   0.022    0.000   0.022        20.26       1059.4
     5.7     8   0.402    0.000   0.402        20.26       1059.4
    11.0     8   0.415    0.000   0.415        20.26       1059.4
    16.4     8   0.424    0.000   0.424        20.26       1059.4
    21.7     8   0.424    0.000   0.424        20.26       1059.4
    27.1     8   0.427    0.000   0.427        20.26       1059.4
    32.5     8   0.430    0.000   0.430        20.26       1059.4
    37.9     8   0.444    0.000   0.444        20.26       1059.4
    43.3     8   0.458    0.000   0.458        20.26       1059.4
    48.6     8   0.465    0.000   0.465        20.26       1075.4
    54.0     8   0.480    0.000   0.480        20.26       1083.4
    59.4     8   0.483    0.000   0.483        20.26       1083.4
    64.8     8   0.487    0.000   0.487        20.26       1083.4
    70.2     8   0.498    0.000   0.498        20.24       1083.4
    75.5     8   0.503    0.000   0.503        20.24       1083.4
    80.9     8   0.507    0.000   0.507        20.26       1083.4
    86.2     8   0.521    0.000   0.521        20.26       1083.4
    91.6     8   0.527    0.000   0.527        20.26       1083.4
    96.9     8   0.533    0.000   0.533        20.26       1083.4
   102.4     8   0.533    0.000   0.533        20.26       1083.4
   107.8     8   0.534    0.005   0.540        20.26       1083.4
   113.2     8   0.533    0.005   0.539        20.26       1083.4
   118.6     8   0.536    0.005   0.541        20.26       1083.4
   124.0     8   0.546    0.005   0.551        20.26       1083.4
   129.4     8   0.552    0.005   0.557        20.26       1083.4
   134.8     8   0.556    0.005   0.561        20.26       1083.4
   140.2     8   0.561    0.005   0.566        20.24       1083.4
   145.6     8   0.561    0.005   0.566        20.26       1083.4
   150.9     8   0.562    0.005   0.567        20.26       1083.4
   156.3     8   0.563    0.005   0.568        20.26       1083.4
   161.7     8   0.572    0.005   0.578        20.26       1083.4
   167.2     8   0.578    0.005   0.583        20.26       1083.4
   172.6     8   0.582    0.005   0.587        20.26       1083.4
   177.9     8   0.581    0.005   0.586        20.26       1083.4
   183.3     8   0.582    0.005   0.587        20.26       1083.4
   188.7     8   0.588    0.005   0.593        20.26       1083.4
   194.1     8   0.598    0.005   0.603        20.26       1083.4
   199.5     8   0.599    0.005   0.604        20.26       1083.4
   204.9     8   0.601    0.005   0.606        20.24       1083.4
   210.3     8   0.608    0.073   0.681        20.24       1083.4
   215.7     8   0.610    0.073   0.683        20.26       1083.4
   221.0     8   0.611    0.073   0.684        20.26       1083.4
   226.5     8   0.611    0.073   0.684        20.26       1083.4
   231.9     8   0.614    0.073   0.688        20.26       1083.4
   237.3     8   0.623    0.073   0.696        20.26       1083.4
   242.7     8   0.623    0.073   0.696        20.26       1083.4
   248.1     8   0.624    0.073   0.697        20.26       1083.4
   253.5     8   0.624    0.073   0.697        20.26       1083.4
   258.9     8   0.626    0.073   0.699        20.26       1083.4
   264.3     8   0.626    0.073   0.699        20.26       1083.4
   269.6     8   0.622    0.073   0.695        20.26       1083.4
   275.3     8   0.622    0.073   0.695        20.26       1083.4
   280.6     8   0.622    0.084   0.707        20.26       1083.4
   286.1     8   0.634    0.083   0.717        20.26       1083.4
   291.5     8   0.635    0.083   0.718        20.26       1083.4
   296.9     8   0.638    0.080   0.718        20.24       1083.4
   302.4     8   0.638    0.082   0.720        20.23       1083.4
   307.8     8   0.648    0.080   0.728        20.26       1083.4
   313.2     8   0.652    0.078   0.730        20.26       1083.4
   318.7     8   0.652    0.078   0.730        20.26       1083.4
   324.1     8   0.653    0.078   0.731        20.26       1083.4
   329.5     8   0.655    0.076   0.732        20.26       1083.4
   334.9     8   0.655    0.076   0.732        20.26       1083.4
   340.2     8   0.656    0.076   0.732        20.26       1083.4
   345.6     8   0.667    0.076   0.743        20.26       1083.4
   351.0     8   0.668    0.076   0.744        20.26       1083.4
   356.4     8   0.674    0.076   0.750        20.26       1083.4
   361.7     8   0.674    0.076   0.750        20.26       1083.4
   367.1     8   0.676    0.076   0.752        20.24       1083.4
   372.5     8   0.676    0.076   0.752        20.24       1083.4
   378.1     8   0.677    0.076   0.753        20.25       1083.4
   383.5     8   0.677    0.076   0.753        20.25       1083.4
   388.9     8   0.677    0.076   0.753        20.25       1083.4
   394.3     8   0.677    0.076   0.753        20.25       1083.4
   399.6     8   0.677    0.076   0.753        20.25       1083.4
   405.1     8   0.677    0.076   0.753        20.25       1083.4
   410.5     8   0.677    0.076   0.753        20.25       1083.4
   415.9     8   0.677    0.076   0.753        20.25       1083.4
   421.2     8   0.677    0.076   0.753        20.25       1083.4
   426.6     8   0.676    0.076   0.752        20.25       1083.4
   432.0     8   0.676    0.076   0.752        20.25       1083.4
   437.4     8   0.676    0.076   0.752        20.26       1083.4
   442.7     8   0.676    0.076   0.752        20.26       1083.4
   448.0     8   0.676    0.076   0.752        20.24       1083.4
   453.5     8   0.676    0.076   0.752        20.23       1083.4
   458.9     8   0.674    0.076   0.750        20.25       1083.4
   464.3     8   0.674    0.076   0.750        20.25       1083.4
   469.7     8   0.674    0.076   0.750        20.25       1083.4
   475.1     8   0.674    0.076   0.750        20.25       1083.4
   480.5     8   0.674    0.076   0.750        20.25       1083.4
   485.9     8   0.674    0.076   0.750        20.25       1083.4
   491.4     8   0.671    0.076   0.747        20.25       1083.4
   496.7     8   0.671    0.076   0.747        20.25       1083.4
# exit 0; wall 502 s; PEAK tree MEM 0.677 GB + CMPRS 0.076 GB = 0.753 GB
