# cmd: ../.venv/bin/python exp028_probe.py
# caps: tree <= 5.0 GB, disk >= 5.0 GB, free swap >= 512.0 MB
# t_s  nproc  MEM_GB  CMPRS_GB  TREE_GB  disk_free_GB  swap_free_MB
     0.4     1   0.034    0.000   0.034        19.27       1169.8
     5.7     1   0.069    0.000   0.069        19.28       1177.8
    11.0     1   0.076    0.000   0.076        19.28       1177.8
    16.3     1   0.077    0.000   0.077        19.28       1193.8
    21.6     1   0.084    0.000   0.084        19.28       1193.8
    26.8     1   0.085    0.000   0.085        19.28       1193.8
    32.1     1   0.085    0.000   0.085        19.28       1193.8
    37.4     1   0.085    0.000   0.085        19.28       1193.8
    42.8     1   0.096    0.000   0.096        19.28       1193.8
    48.0     1   0.096    0.000   0.096        19.28       1193.8
    53.3     1   0.096    0.000   0.096        19.28       1193.8
    58.6     1   0.096    0.000   0.096        19.27       1193.8
    63.9     1   0.097    0.000   0.097        19.26       1193.8
    69.2     1   0.097    0.000   0.097        19.26       1193.8
    74.5     1   0.104    0.000   0.104        19.26       1193.8
    79.7     1   0.105    0.000   0.105        19.26       1193.8
    85.1     1   0.106    0.000   0.106        19.26       1209.8
    90.4     1   0.106    0.000   0.106        19.26       1209.8
    95.7     1   0.106    0.000   0.106        19.25       1209.8
   101.0     1   0.106    0.000   0.106        19.25       1209.8
   106.4     1   0.106    0.000   0.106        19.25       1209.8
   111.7     1   0.106    0.000   0.106        19.25       1209.8
   117.0     1   0.106    0.000   0.106        19.25       1225.8
   122.2     1   0.106    0.000   0.106        19.25       1225.8
   127.5     1   0.106    0.000   0.106        19.25       1225.8
   132.8     1   0.106    0.000   0.106        19.25       1225.8
   138.1     1   0.106    0.000   0.106        19.25       1225.8
   143.4     1   0.106    0.000   0.106        19.25       1233.8
   148.6     1   0.106    0.000   0.106        19.25       1233.8
   153.9     1   0.106    0.000   0.106        19.25       1233.8
# exit 0; wall 159 s; PEAK tree MEM 0.106 GB + CMPRS 0.000 GB = 0.106 GB
